x,y
50.0,50.0
50.0,483.333
50.0,916.666
50.0,1350.0
50.0,1783.333
50.0,2216.666
50.0,2650.0
50.0,3083.333
50.0,3516.666
50.0,3950.0
483.333,50.0
916.666,50.0
1350.0,50.0
1783.333,50.0
2216.666,50.0
2650.0,50.0
3083.333,50.0
3516.666,50.0
3950.0,50.0
3950.0,483.333
3950.0,916.666
3950.0,1350.0
3950.0,1783.333
3950.0,2216.666
3950.0,2650.0
3950.0,3083.333
3950.0,3516.666
3950.0,3950.0
483.333,3950.0
916.666,3950.0
1350.0,3950.0
1783.333,3950.0
2216.666,3950.0
2650.0,3950.0
3083.333,3950.0
3516.666,3950.0
1571,1571
2429,1571
1571,2429
2429,2429
1142,2429
2858,2429
2000,2429
2702,908
1571,1142
3443,3521
1454,3326
713,635
3287,1688
635,2429
