x,y
50.1,50.1
51.0,459.7
51.0,885.50006
52.9,1346.5
50.3,1779.9
53.1,2207.0
53.399998,2655.9
50.0,3085.2
50.0,3487.2
50.2,3949.5
471.7,3950.0
875.4,3950.0
1295.0,3950.0
1851.8,3949.9001
2279.1,3950.0
2706.2,3950.0
3112.0,3950.0
3514.2,3950.0
3950.0,3950.0
3950.0,3511.7659
3950.0,3087.0
3950.0,2668.0
3950.0,2199.8
3950.0,1781.5
3950.0,1352.2999
3950.0,508.0
3950.0,923.8
3950.0,50.6
3538.4,50.0
3091.3,51.2
2649.8,53.0
2236.3,54.100002
1804.6,51.0
1337.2,51.0
909.166,52.2
499.133,51.2
3330.4,2430.1
1139.0,2425.5999
2868.1,2436.4
1571.9,2429.4
2413.0,2432.0
2877.2,1124.1
2416.5,1131.1
1577.2999,1587.7
1582.1,1126.3
694.39996,1446.8999
3197.0,3366.0
1434.7999,3296.0
1991.0,2423.0
3389.0,1021.8
