x,y
50.0,50.0
230.0,1940.0
410.0,3830.0
1760.0,860.0
1940.0,2750.0
3470.0,1670.0
3650.0,3560.0
3830.0,320.0
2840.0,320.0
860.0,3290.0
2840.0,3830.0
680.0,1400.0
2210.0,3920.0
1130.0,50.0
3920.0,2750.0
3920.0,1400.0
140.0,3380.0
2030.0,2030.0
50.0,680.0
2030.0,50.0
3920.0,2210.0
3830.0,770.0
1400.0,2840.0
2660.0,1940.0
230.0,2570.0
590.0,50.0
1580.0,3920.0
1580.0,50.0
3290.0,320.0
3920.0,3920.0
140.0,1220.0
860.0,3830.0
3110.0,2750.0
2660.0,2750.0
680.0,590.0
3920.0,3200.0
2390.0,680.0
3470.0,3920.0
1400.0,2030.0
3110.0,1220.0
680.0,2300.0
2300.0,3200.0
2480.0,50.0
1400.0,1310.0
1400.0,3380.0
1940.0,3470.0
3470.0,2480.0
2300.0,1310.0
3470.0,1040.0
680.0,1850.0
