x,y
50.0,50.0
1940.0,230.0
3830.0,410.0
860.0,1760.0
2750.0,1940.0
1670.0,3470.0
3560.0,3650.0
320.0,3830.0
320.0,2840.0
3290.0,860.0
3830.0,2840.0
1400.0,680.0
3920.0,2210.0
50.0,1130.0
2750.0,3920.0
1400.0,3920.0
3380.0,140.0
2030.0,2030.0
680.0,50.0
50.0,2030.0
2210.0,3920.0
770.0,3830.0
2840.0,1400.0
1940.0,2660.0
2570.0,230.0
50.0,590.0
3920.0,1580.0
50.0,1580.0
320.0,3290.0
3920.0,3920.0
1220.0,140.0
3830.0,860.0
2750.0,3110.0
2750.0,2660.0
590.0,680.0
3200.0,3920.0
680.0,2390.0
3920.0,3470.0
2030.0,1400.0
1220.0,3110.0
2300.0,680.0
3200.0,2300.0
50.0,2480.0
1310.0,1400.0
3380.0,1400.0
3470.0,1940.0
2480.0,3470.0
1310.0,2300.0
1040.0,3470.0
1850.0,680.0
