x,y
700.0,1441.0
3950.0,3950.0
3950.0,3516.666
3950.0,50.0
916.666,50.0
483.333,50.0
2429.0,1129.0
1571.0,1571.0
1571.0,1129.0
2871.0,1129.0
1441.0,3300.0
3196.0,3365.0
3378.0,1025.0
3950.0,500.0
3950.0,905.0
3950.0,1780.0
3950.0,1350.0
3950.0,2200.0
3950.0,3075.0
3950.0,2670.0
1349.0,50.0
2649.0,50.0
1796.0,50.0
2235.0,50.0
3087.0,50.0
3548.0,50.0
1293.0,3950.0
2277.0,3950.0
3110.0,3950.0
1851.0,3950.0
874.0,3950.0
2705.0,3950.0
470.0,3950.0
3514.0,3950.0
1572.0,2430.0
2410.0,2430.0
1129.0,2430.0
2871.0,2430.0
1991.0,2430.0
3330.0,2430.0
50,3948
50,52
50,2199
50,1342
50,3084
50,2654
50,873
50,3486
50,1776
50,470

