x,y
698.0,1444.0
3950.0,3950.0
3950.0,3511.666
3950.0,50.0
907.666,52.0
497.333,52.0
2427.0,1132.0
1577.0,1588.0
1578.0,1125.0
1433.0,3296.0
3385.0,1025.0
3950.0,500.0
3950.0,922.0
3950.0,1780.0
3950.0,1352.0
3950.0,2200.0
3950.0,3084.0
3950.0,2668.0
1342.0,54.0
2649.0,50.0
1802.0,50.0
2236.0,50.0
3091.0,50.0
3543.0,50.0
1294.0,3950.0
2277.0,3950.0
3111.0,3950.0
1851.0,3950.0
875.0,3950.0
2705.0,3950.0
471.0,3950.0
3514.0,3950.0
1574.0,2430.0
2413.0,2432.0
1140.0,2426.0
2868.0,2437.0
1991.0,2430.0
3330.0,2430.0
50.0,3948.0
50.0,52.0
53.0,2206.0
53.0,1343.0
50.0,3084.0
50.0,2654.0
50.0,885.0
50.0,3487.0
50.0,1780.0
3197.0,3366.0
50.0,459.0
2873.099999999997,1128.8999999999937
