x,y
2006,1121
3950,3950
3950,3513.666016
3950,50
2420.5,1122
695,1443
1573,1118
2878,1118
1432,3300
1577,1588
3950,506
3950,922
3950,1779
3950,1352
3950,2184
3950,3081
3950,2668
1294,3950
2278,3950
3112,3950
1851,3950
875,3950
2706,3950
469,3950
3514,3950
1571,2430
2412,2432
1140,2428
2868,2437
1991,2430
3330,2430
52,3950
50,50
51,2207
50,1342
50,3085
53,2659
52,876.5
50,3487
50,1781.5
3197,3366
50,453.5
1348,52
497,51
1804,50
3086,50
2236,50
2650,50
945,52
3544,50
