x,y
2006.0,1121.0
2420.5,1122.0
695.0,1450.0
1573.0,1118.0
2880.0,1118.0
1432.0,3300.0
1577.0,1588.0
1571.0,2431.0
2412.0,2432.0
1140.0,2428.0
2868.0,2437.0
1991.0,2430.0
3330.0,2430.0
3197.0,3366.0
3950.0,3950.0
3950.0,3513.666015625
3950.0,50.0
3950.0,515.0
3950.0,922.0
3950.0,1779.0
3950.0,1352.0
3950.0,2184.0
3950.0,3081.0
3950.0,2668.0
1294.0,3950.0
2278.0,3950.0
3112.0,3950.0
1851.0,3950.0
875.0,3950.0
2706.0,3950.0
469.0,3950.0
3514.0,3950.0
52.0,3950.0
50.0,51.0
50.0,2207.0
50.0,1344.0
50.0,3085.0
53.0,2655.0
50.0,877.5
50.0,3487.0
50.0,1781.5
50.0,453.5
1348.0,52.0
498.0,51.0
1804.0,50.0
3086.0,50.0
2236.0,50.0
2650.0,50.0
945.0,52.0
3524.0,50.0
